ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms)
T0_subNum,T0_length,T0_trial,T0_set,T0_stim,T0_targetfoil,T0_resp,T0_corr,T0_rt,T1_subNum,T1_length,T1_trial,T1_set,T1_stim,T1_targetfoil,T1_resp,T1_corr,T1_rt,T2_subNum,T2_length,T2_trial,T2_set,T2_stim,T2_targetfoil,T2_resp,T2_corr,T2_rt
T0_4574_sternberg,2,1,PQ,V,F,<rshift>,1,1452,T1_4574_sternberg,2,1,GZ,G,T,<lshift>,1,723,T2_4574_sternberg.csv,2,1,KV,K,T,<lshift>,1,1452
T0_4574_sternberg,2,2,PQ,Q,T,<lshift>,1,723,T1_4574_sternberg,2,2,GZ,P,F,<rshift>,1,884,T2_4574_sternberg.csv,2,2,KV,S,F,<rshift>,1,1793
T0_4574_sternberg,2,3,PQ,Q,T,<lshift>,1,516,T1_4574_sternberg,2,3,GZ,W,F,<rshift>,1,1016,T2_4574_sternberg.csv,2,3,KV,B,F,<rshift>,1,711
T0_4574_sternberg,2,4,PQ,P,T,<lshift>,1,538,T1_4574_sternberg,2,4,GZ,Z,T,<lshift>,1,457,T2_4574_sternberg.csv,2,4,KV,V,T,<lshift>,1,387
T0_4574_sternberg,2,5,PQ,Q,T,<lshift>,1,458,T1_4574_sternberg,2,5,GZ,C,F,<rshift>,1,563,T2_4574_sternberg.csv,2,5,KV,K,T,<lshift>,1,487
T0_4574_sternberg,2,6,PQ,K,F,<rshift>,1,528,T1_4574_sternberg,2,6,GZ,K,F,<rshift>,1,386,T2_4574_sternberg.csv,2,6,KV,V,T,<lshift>,1,384
T0_4574_sternberg,2,7,PQ,F,F,<rshift>,1,628,T1_4574_sternberg,2,7,GZ,Z,T,<rshift>,0,330,T2_4574_sternberg.csv,2,7,KV,D,F,<rshift>,1,448
T0_4574_sternberg,2,8,PQ,G,F,<rshift>,1,614,T1_4574_sternberg,2,8,GZ,R,F,<rshift>,1,928,T2_4574_sternberg.csv,2,8,KV,K,T,<lshift>,1,410
T0_4574_sternberg,2,9,PQ,Q,T,<lshift>,1,456,T1_4574_sternberg,2,9,GZ,C,F,<rshift>,1,428,T2_4574_sternberg.csv,2,9,KV,P,F,<rshift>,1,388
